Tabla 1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Etiquetas de fila,Cja-Kg,Venta $,MsCP $,MsCP %,,,,,,,,,,,,,,,
260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ),"2,484.00"," $	621,000 ","16,146",2.60%,,,,,,,,,,,,,,,
FROZEN STRAIGHT CUT 3/8 FRIES,"1,759.00"," $	539,570 ","84,522",15.66%,,,,,,,,,,,,,,,
AVIKO H PREM. CRUNCH SHOESTRING 7MM 4X2270g,342.00," $	151,970 ","43,146",28.39%,,,,,,,,,,,,,,,
102013 - PAPA RECTA 3/8. (4x 2.5 Kg),381.25," $	146,514 ","25,710",17.55%,,,,,,,,,,,,,,,
102341 - PAPA RECTA 3/8 C/ COB. (4x 2.5 Kg),130.00," $	61,528 ","23,137",37.60%,,,,,,,,,,,,,,,
114054 - PAPA GAJO SAZONADO. (4x 2.5 Kg),122.00," $	59,579 ","19,001",31.89%,,,,,,,,,,,,,,,
NUGGET DINO PREMIUM 10 KG (5x2 kg),68.00," $	53,690 ","8,067",15.03%,,,,,,,,,,,,,,,
FROZEN FRENCH FRIES 3/8 4X2.5 KG PREMIER GOLD,156.00," $	53,040 ","9,131",17.21%,,,,,,,,,,,,,,,
104215 - PAPA RECTA 3/8 C/ COB. Y CAS.  (4x 2.5 Kg),109.00," $	51,027 ","12,313",24.13%,,,,,,,,,,,,,,,
NUGGET PREMIUM 10 KG,65.00," $	49,200 ","5,650",11.48%,,,,,,,,,,,,,,,
102310 - PAPA DELGADA 1/4 C/ COB.  (4x 2.5 Kg),93.00," $	45,353 ","12,493",27.55%,,,,,,,,,,,,,,,
ALITA NATURAL 1-2 SEARA,37.00," $	42,803 ","8,602",20.10%,,,,,,,,,,,,,,,
102211 - PAPA DELGADA 1/4. (4x 2.5 Kg),104.00," $	42,732 ","15,721",36.79%,,,,,,,,,,,,,,,
807679 - PAPA GAJO SAZONADO 500 Grs,71.00," $	37,530 ","10,448",27.84%,,,,,,,,,,,,,,,
102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg),72.00," $	29,828 ","11,391",38.19%,,,,,,,,,,,,,,,
AVIKO RÖSTIKO ROUNDS FRYER 4X2500G,46.00," $	22,080 ","3,368",15.25%,,,,,,,,,,,,,,,
BONELESS NATURAL FRESKECITO,132.00," $	19,345 ","4,950",25.59%,,,,,,,,,,,,,,,
Onion Rings Breaded 10x1100 G FarmFrites,15.00," $	12,458 ",248,1.99%,,,,,,,,,,,,,,,
AVIK TRIANGULO HASHBROWNS ( 4 X 2.5 KG),24.25," $	11,640 ","1,822",15.65%,,,,,,,,,,,,,,,
PARMESANO LITUANO RUEDA 4.5 Kg,31.01," $	9,450 ","2,629",27.82%,,,,,,,,,,,,,,,
