Tabla 1
Código Producto,Cod Reporte,Nombre (Producto),KG X CJA,
01WER38,102013,102013 - PAPA RECTA 3/8. (4x 2.5 Kg),10,
01WER14,102211,102211 - PAPA DELGADA 1/4. (4x 2.5 Kg),10,
01WER14CC,102310,102310 - PAPA DELGADA 1/4 C/ COB.  (4x 2.5 Kg),10,
01WER38CC,102341,102341 - PAPA RECTA 3/8 C/ COB. (4x 2.5 Kg),10,
01WER12,102419,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg),10,
01WER38CCC,104215,104215 - PAPA RECTA 3/8 C/ COB. Y CAS.  (4x 2.5 Kg),10,
01WERGAJO,114054,114054 - PAPA GAJO SAZONADO. (4x 2.5 Kg),10,
01CAS38,260612,260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ),10,
505015,505015,505015 - FROZEN STRAIGHT CUT 3/8 FRIES,12,
802142,802142,802142 - AVK CORTE RECTO 3/8 (4x2.5Kg),10,
804104,804104,804104 - AVK TRIANGULO HASHBROWNS (4x2.5Kg),10,
804109,804109,804109 - AVIKO SHOESTRING 5X2500G,12.5,
01AVKRZIG,805411,805411 - AVK PAPA ZIG ZAG (12x750 Grs),9,
806685,806685,806685 - AVIKO H PREM. CRUNCH SHOESTRING 7MM 4X2270g,9.08,
806686,806686,806686 - AVIKO H. PREM CRUNCH 9.5mm  3/8 4X2270g,9.08,
806694,806694,806694 - AVIKO H SUPER CRUNCH 9.5MM 3/8 4X2500G,10,
806939,806939,806939 - AVIKO CRINKLE CUT FRIES 12MM 4X2500G,10,
806980,806980,806980 - AVIKO SPICY JACKET WEDGES 4X2500G,10,
01AVKARO,806982,806982 - AVK AROS DE CEBOLLA (6x1 Kg),6,
R01AV38450,807329,807329 - PAPA RECTA 3/8 ORIGINAL 450 Grs,9,
R01AVGAJO,807679,807679 - PAPA GAJO SAZONADO 500 Grs,10,
R01AVKR1KG,807769,807769 - PAPA CORTE RECTO 1 KILO 1000 GRS,10,
808540,808540,AVIKO PUB FRIES SUPER CRUNCH 5X5.5 LBS,12.5,
1000440,1000440,PAPA FRANCESA 3/8 2.5 KG C/10,10,
70714906,70714906,Farm Frites Crinkle Fries 5x2.5 kg,12.5,
01KFS01,01KFS01,ARO DE CEBOLLA EMPANIZADO FF 11 KG (10 BOL),11,
01KFS02,01KFS02,PAPA ONDULADA 12 MM FF (5x2.5 kg),10,
01KFS03,01KFS03,PAPA 1/4 PREMIUM HARVEST SIMPLOT (6x2.72 kg),16.32,
01RCA01,01RCA01,PAPA CHIPPERBEC FROZEN 3/8 CASCARA 13.62 KG (6x2.27 kg),13.62,
01RCA02,01RCA02,PAPA RECTA 3/8 COBERTURA BK 16.32 KG (6x2.7 kg),16.2,
01VEG01,01VEG01,PAPA WAFFLE SAZ. 10 KG (4x2.5 kg),10,
804661,804661,AVIKO STEAK FRIES 4X2500G 4X5.5 LBS,10,
805168,805168,AVIKO AROS DE CEBOLLA PREFORMADO (25X400GR),10,
805567,805567,AVIKO RÖSTIKO ROUNDS FRYER 4X2500G,10,
809529,809529,AVIKO SC AIRFR POMMES FRITES 10 X750 GR.,7.5,
R00640,R00640,Onion Rings Breaded 10x1100 G FarmFrites,11,
R00641,R00641,PAPA 1/4 PREMIUM HARVEST 16.33 KG C/6 BOLSAS DE 2.72 KG,16.32,
