Tabla 1
DIVISION,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
GDL," 	868,336.00 "," 	937,996.00 "," 	1,319,014.00 "," 	1,239,990.00 "," 	976,665.00 ",,,,,,,,
QR," 	640,090.00 "," 	723,170.00 "," 	676,280.00 "," 	968,530.00 "," 	941,850.00 ",,,,,,,,
CS," 	1,224,156.00 "," 	1,236,049.00 "," 	885,795.00 "," 	798,594.00 "," 	727,054.00 ",,,,,,,,
FARAON,," 	582,420.00 ", 	-   , 	-   ,,,,,,,,,
CC CASTEL,," 	571,000.00 "," 	353,970.00 ", 	-   ," 	621,000.00 ",,,,,,,,
CC CASTEL2,," 	582,420.00 "," 	310,500.00 ", 	-   ,,,,,,,,,
CC KAIDA1," 	624,000.00 "," 	636,000.00 "," 	576,000.00 "," 	600,000.00 "," 	316,800.00 ",,,,,,,,
CC KAIDA2," 	636,000.00 "," 	636,000.00 "," 	636,000.00 "," 	600,000.00 "," 	592,800.00 ",,,,,,,,
CC KAIDA3," 	636,000.00 "," 	624,000.00 "," 	636,000.00 "," 	636,000.00 "," 	600,000.00 ",,,,,,,,
CC KAIDA4," 	600,000.00 ", 	-   ," 	600,000.00 "," 	600,000.00 "," 	592,800.00 ",,,,,,,,
MEN VLP," 	1,000,000.00 "," 	680,000.00 "," 	592,919.00 "," 	760,000.00 "," 	902,885.00 ",,,,,,,,
MAY GAMA," 	200,000.00 "," 	185,000.00 ",,,,,,,,,,,
MAY VLP," 	485,000.00 "," 	583,000.00 "," 	495,170.00 "," 	550,000.00 "," 	766,144.00 ",,,,,,,,
DIEGO CDMX,,,,," 	118,800.00 ",,,,,,,,
GABRIELA,,,,,,,,,,,,,
MARIO,,,, 	-   ,,,,,,,,,
,," 	7,977,055.00 "," 	7,081,648.00 "," 	6,753,114.00 "," 	7,156,798.00 ", 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,,,,,,,,,,,,,
DIVISION,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
OXDA," 	755,990.00 "," 	708,468.00 "," 	754,616.00 "," 	779,200.00 "," 	802,804.00 ",,,,,,,,
VULPES," 	669,302.00 "," 	681,455.00 "," 	494,263.00 "," 	502,001.00 "," 	479,000.00 ",,,,,,,,
,,,7%,3%,3%,-100%,,,,,,,
,,,-27%,2%,-5%,-100%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ENERO,,,,,,,,,,,,,
FEBRERO,,,,,,,,,,,,,
MARZO,,,,,,,,,,,,,
ABRIL,,,,,,,,,,,,,
MAYO,,,,,,,,,,,,,
JUNIO,,,,,,,,,,,,,
JULIO,,,,,,,,,,,,,
AGOSTO,,,,,,,,,,,,,
SEPTIEMBRE,,,,,,,,,,,,,
OCTUBRE,,,,,,,,,,,,,
NOVIEMBRE,,,,,,,,,,,,,
DICIEMBRE,,,,,,,,,,,,,
